"avatar_id","avatar_name","gender","premium","preview_image_url","preview_video_url"
"Abigail_expressive_2024112501","Abigail (Upper Body)","female","False","https://files2.heygen.ai/avatar/v3/1ad51ab9fee24ae88af067206e14a1d8_44250/preview_target.webp","https://files2.heygen.ai/avatar/v3/1ad51ab9fee24ae88af067206e14a1d8_44250/preview_video_target.mp4"
"Abigail_standing_office_front","Abigail Office Front","female","False","https://files2.heygen.ai/avatar/v3/463208b6cad140d2b263535826838e3a_39240/preview_target.webp","https://files2.heygen.ai/avatar/v3/463208b6cad140d2b263535826838e3a_39240/preview_video_target.mp4"
"Abigail_standing_office_side","Abigail Office Side","female","False","https://files2.heygen.ai/avatar/v3/9886d46db7f24260bb219c756ca0d759_39250/preview_target.webp","https://files2.heygen.ai/avatar/v3/9886d46db7f24260bb219c756ca0d759_39250/preview_video_target.mp4"
"Abigail_sitting_sofa_front","Abigail Sofa Front","female","False","https://files2.heygen.ai/avatar/v3/cfdab85e050048d2abc901bf882c89a7_39220/preview_target.webp","https://files2.heygen.ai/avatar/v3/cfdab85e050048d2abc901bf882c89a7_39220/preview_video_target.mp4"
"Abigail_sitting_sofa_side","Abigail Sofa Side","female","False","https://files2.heygen.ai/avatar/v3/e5e2683161894616b4cdf73d4f6ed6ea_39230/preview_target.webp","https://files2.heygen.ai/avatar/v3/e5e2683161894616b4cdf73d4f6ed6ea_39230/preview_video_target.mp4"
"Aditya_public_4","Aditya in Brown blazer","male","False","https://files2.heygen.ai/avatar/v3/17ad4b824e5a47e8b4f61e6a9cd346e7_62180/preview_target.webp","https://files2.heygen.ai/avatar/v3/17ad4b824e5a47e8b4f61e6a9cd346e7_62180/preview_video_target.mp4"
"Aditya_public_1","Aditya in Blue blazer","male","False","https://files2.heygen.ai/avatar/v3/8c30ef92b2334d919e0f754e38c1a1ae_62150/preview_target.webp","https://files2.heygen.ai/avatar/v3/8c30ef92b2334d919e0f754e38c1a1ae_62150/preview_video_target.mp4"
"Aditya_public_5","Aditya in Blue shirt","male","False","https://files2.heygen.ai/avatar/v3/cfcffd36e22045e9b47ea2b95b3f53af_62190/preview_target.webp","https://files2.heygen.ai/avatar/v3/cfcffd36e22045e9b47ea2b95b3f53af_62190/preview_video_target.mp4"
"Aditya_public_2","Aditya in Blue t-shirt","male","False","https://files2.heygen.ai/avatar/v3/6ff8854f65b947718a29941f6d24a4d2_62160/preview_target.webp","https://files2.heygen.ai/avatar/v3/6ff8854f65b947718a29941f6d24a4d2_62160/preview_video_target.mp4"
"Aditya_public_3","Aditya in Beige blazer","male","False","https://files2.heygen.ai/avatar/v3/7fe122f58cc545cab9006ec6753f599b_62170/preview_target.webp","https://files2.heygen.ai/avatar/v3/7fe122f58cc545cab9006ec6753f599b_62170/preview_video_target.mp4"
"Adrian_public_3_20240312","Adrian in Blue Shirt","male","False","https://files2.heygen.ai/avatar/v3/696e5afe51ee4794aa232753fa703fea_14947/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/696e5afe51ee4794aa232753fa703fea_14947/preview_video_talk_2.mp4"
"Adrian_public_2_20240312","Adrian in Blue Suit","male","False","https://files2.heygen.ai/avatar/v3/25ef6c86b1e946969d9a684870c47dfe_14947/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/25ef6c86b1e946969d9a684870c47dfe_14947/preview_video_talk_1.mp4"
"Adrian_public_20240312","Adrian in Blue Sweater","male","False","https://files2.heygen.ai/avatar/v3/3e3d8f2231e44f73af86ff2f68b7649a_14947/preview_talk_4.webp","https://files2.heygen.ai/avatar/v3/3e3d8f2231e44f73af86ff2f68b7649a_14947/preview_video_talk_4.mp4"
"Adriana_BizTalk_Front_public","Adriana BizTalk Front","female","False","https://files2.heygen.ai/avatar/v3/c3d1baaebbe84752b7a473373c6cd385_42780/preview_target.webp","https://files2.heygen.ai/avatar/v3/c3d1baaebbe84752b7a473373c6cd385_42780/preview_video_target.mp4"
"Adriana_BizTalk_Side_public","Adriana BizTalk Side","female","False","https://files2.heygen.ai/avatar/v3/5fb6d7ff842944f69d1ba419e15e2d77_42450/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/5fb6d7ff842944f69d1ba419e15e2d77_42450/preview_video_talk_2.mp4"
"Adriana_Business_Front_2_public","Adriana Business Front 2","female","False","https://files2.heygen.ai/avatar/v3/88dbd2785def417ca7a2b79d4cf40c6d_42780/preview_talk_3.webp","https://files2.heygen.ai/avatar/v3/88dbd2785def417ca7a2b79d4cf40c6d_42780/preview_video_talk_3.mp4"
"Adriana_Business_Front_public","Adriana Business Front ","female","False","https://files2.heygen.ai/avatar/v3/2b68bcf81edc44fabdc9070e62ca1f82_42780/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/2b68bcf81edc44fabdc9070e62ca1f82_42780/preview_video_talk_2.mp4"
"Adriana_Business_Side_public","Adriana Business Side","female","False","https://files2.heygen.ai/avatar/v3/18f25fd5ce0040a29a954e95165e233a_42770/preview_target.webp","https://files2.heygen.ai/avatar/v3/18f25fd5ce0040a29a954e95165e233a_42770/preview_video_target.mp4"
"Adriana_Nurse_Front_2_public","Adriana Nurse Front 2","female","False","https://files2.heygen.ai/avatar/v3/e3dfd4ec90884caeae05430db04334dd_42440/preview_target.webp","https://files2.heygen.ai/avatar/v3/e3dfd4ec90884caeae05430db04334dd_42440/preview_video_target.mp4"
"Adriana_Nurse_Front_public","Adriana Nurse Front","female","False","https://files2.heygen.ai/avatar/v3/79c13347a41a43059ddbad785a5836d6_47140/preview_target.webp","https://files2.heygen.ai/avatar/v3/79c13347a41a43059ddbad785a5836d6_47140/preview_video_target.mp4"
"Adriana_Nurse_Side_2_public","Adriana Nurse Side 2","female","False","https://files2.heygen.ai/avatar/v3/599c75d72b0545f9908327b491a9ec36_42450/preview_talk_4.webp","https://files2.heygen.ai/avatar/v3/599c75d72b0545f9908327b491a9ec36_42450/preview_video_talk_4.mp4"
"Adriana_Nurse_Side_public","Adriana Nurse Side","female","False","https://files2.heygen.ai/avatar/v3/c6a3c89a0e0f4170be2bdb5e2c3616b3_42450/preview_talk_3.webp","https://files2.heygen.ai/avatar/v3/c6a3c89a0e0f4170be2bdb5e2c3616b3_42450/preview_video_talk_3.mp4"
"Adriana_Nurse_Sitting_Side_public","Adriana Nurse Sitting Side","female","False","https://files2.heygen.ai/avatar/v3/2ffe91c78a70469696ed793bc01a682b_42450/preview_target.webp","https://files2.heygen.ai/avatar/v3/2ffe91c78a70469696ed793bc01a682b_42450/preview_video_target.mp4"
"Adriana_SuitSofa_Front_public","Adriana SuitSofa Front","female","False","https://files2.heygen.ai/avatar/v3/ab83416187164ac386f72e7c7288e70b_42780/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/ab83416187164ac386f72e7c7288e70b_42780/preview_video_talk_1.mp4"
"Aiko_public","Aiko","female","False","https://files2.heygen.ai/avatar/v3/1cc18796d5e44342b3247c1aa847bc8f_52250/preview_target.webp","https://files2.heygen.ai/avatar/v3/1cc18796d5e44342b3247c1aa847bc8f_52250/preview_video_target.mp4"
"Albert_public_3","Albert in Blue Polo shirt","male","False","https://files2.heygen.ai/avatar/v3/db0a30cd42d640a6b24e693c94c6aac3_62570/preview_target.webp","https://files2.heygen.ai/avatar/v3/db0a30cd42d640a6b24e693c94c6aac3_62570/preview_video_target.mp4"
"Albert_public_2","Albert in Blue blazer","male","False","https://files2.heygen.ai/avatar/v3/1a91286a9fae4e0aa41f93011f783ee2_62560/preview_target.webp","https://files2.heygen.ai/avatar/v3/1a91286a9fae4e0aa41f93011f783ee2_62560/preview_video_target.mp4"
"Albert_public_5","Albert in Blue shirt","male","False","https://files2.heygen.ai/avatar/v3/c86d6ccaf52d43ceb65df4a62f4b45e7_62590/preview_target.webp","https://files2.heygen.ai/avatar/v3/c86d6ccaf52d43ceb65df4a62f4b45e7_62590/preview_video_target.mp4"
"Albert_public_1","Albert in Blue suit","male","False","https://files2.heygen.ai/avatar/v3/57a701a3f0af49e6bda8cf47f1f7c7df_62550/preview_target.webp","https://files2.heygen.ai/avatar/v3/57a701a3f0af49e6bda8cf47f1f7c7df_62550/preview_video_target.mp4"
"Albert_public_4","Albert in Khaki blazer","male","False","https://files2.heygen.ai/avatar/v3/a8730972ac8a473f8d8c6fa309f729df_62580/preview_target.webp","https://files2.heygen.ai/avatar/v3/a8730972ac8a473f8d8c6fa309f729df_62580/preview_video_target.mp4"
"Albert_public_6","Albert in White shirt","male","False","https://files2.heygen.ai/avatar/v3/52252d1fde9d48fa8e295e48500205a4_62600/preview_target.webp","https://files2.heygen.ai/avatar/v3/52252d1fde9d48fa8e295e48500205a4_62600/preview_video_target.mp4"
"Amanda_in_Blue_Shirt_Front","Amanda in Blue Shirt (Front)","female","False","https://files2.heygen.ai/avatar/v3/74982c18df0f43fbbf304133b49b2170_35020/preview_target.webp","https://files2.heygen.ai/avatar/v3/74982c18df0f43fbbf304133b49b2170_35020/preview_video_target.mp4"
"Amanda_in_Blue_Shirt_Left","Amanda in Blue Shirt (Left)","female","False","https://files2.heygen.ai/avatar/v3/df3a17e47a5c4cada4199c4bab4b4cff_35030/preview_target.webp","https://files2.heygen.ai/avatar/v3/df3a17e47a5c4cada4199c4bab4b4cff_35030/preview_video_target.mp4"
"Amanda_in_Blue_Shirt_Right","Amanda in Blue Shirt (Right)","female","False","https://files2.heygen.ai/avatar/v3/912f2e54677a4f29b1dc877d20e3ce49_35040/preview_target.webp","https://files2.heygen.ai/avatar/v3/912f2e54677a4f29b1dc877d20e3ce49_35040/preview_video_target.mp4"
"Amanda_in_Grey_Shirt_Front","Amanda in Grey Shirt (Front)","female","False","https://files2.heygen.ai/avatar/v3/ecd4d2f8ee2b4178929876bb86efa799_35020/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/ecd4d2f8ee2b4178929876bb86efa799_35020/preview_video_talk_1.mp4"
"Amanda_in_Grey_Shirt_Left","Amanda in Grey Shirt (Left)","female","False","https://files2.heygen.ai/avatar/v3/f6f77b67900e45ffaf5f3fe756ba2bc2_35030/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/f6f77b67900e45ffaf5f3fe756ba2bc2_35030/preview_video_talk_1.mp4"
"Amanda_in_Grey_Shirt_Right","Amanda in Grey Shirt (Right)","female","False","https://files2.heygen.ai/avatar/v3/93b2b6e3ceb34ca880a8c053ade3293c_35040/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/93b2b6e3ceb34ca880a8c053ade3293c_35040/preview_video_talk_1.mp4"
"Amanda_Maintenance_Front","Amanda in Maintenance (Front)","female","False","https://files2.heygen.ai/avatar/v3/23807df66d6c4a2d89248ed269ef1a14_35020/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/23807df66d6c4a2d89248ed269ef1a14_35020/preview_video_talk_2.mp4"
"Amanda_Maintenance_Left","Amanda in Maintenance (Left)","female","False","https://files2.heygen.ai/avatar/v3/7736e274ddb24d08a1168653ea5c11b2_35030/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/7736e274ddb24d08a1168653ea5c11b2_35030/preview_video_talk_2.mp4"
